title,company,location,link,job_type,experience_level
Data Analyst,Curefit,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-curefit-4353999100,Full-time,Mid-Senior level
Data Analyst,Groww,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-analyst-at-groww-4360809877,Full-time,Mid-Senior level
Business Associate (Analytics),Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-associate-analytics-at-swiggy-4366455842,Full-time,Mid-Senior level
Staff Forecasting & Data Analyst,LinkedIn,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/staff-forecasting-data-analyst-at-linkedin-4361571405,Full-time,Mid-Senior level
Lead Associate : Data Analyst,Myntra,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/lead-associate-data-analyst-at-myntra-4366877123,Full-time,Mid-Senior level
Kreditbee - Senior Data Analyst - SQL/Python,KreditBee,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/kreditbee-senior-data-analyst-sql-python-at-kreditbee-4370911014,Full-time,Mid-Senior level
Analyst - III,Nykaa,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-iii-at-nykaa-4368968892,Full-time,Mid-Senior level
Freelance Computational Data Science Expert (Python & SQL),Mindrift,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/freelance-computational-data-science-expert-python-sql-at-mindrift-4370942250,Full-time,Mid-Senior level
Data Analyst,Epsilon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-epsilon-4367078863,Full-time,Mid-Senior level
Analyst,slice,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-at-slice-4367115565,Full-time,Mid-Senior level
Data Analyst II,Honeywell,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-honeywell-4370550281,Full-time,Mid-Senior level
Data Analyst,Expleo Group,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-expleo-group-4362251170,Full-time,Mid-Senior level
Data Analyst,SuperPe,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-superpe-4370617485,Full-time,Mid-Senior level
Data Analyst,FedEx,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-fedex-4371028889,Full-time,Mid-Senior level
Data Analyst,Cognizant,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-cognizant-4370406858,Full-time,Mid-Senior level
Data Insight Analyst [T500-21931],Albertsons Companies India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-insight-analyst-t500-21931-at-albertsons-companies-india-4364321337,Full-time,Mid-Senior level
Data Analyst II,Honeywell,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-honeywell-4370553081,Full-time,Mid-Senior level
Data Science INTERN,Microsoft,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-science-intern-at-microsoft-4358386656,Full-time,Mid-Senior level
Data Analyst I,Philips,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-i-at-philips-4371139029,Full-time,Mid-Senior level
"Data Analyst (SQL,HDFS, Hive)",RiskInsight Consulting Pvt Ltd.,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-sql-hdfs-hive-at-riskinsight-consulting-pvt-ltd-4370337080,Full-time,Mid-Senior level
Data Analyst Intern,Eternz,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-intern-at-eternz-4370650020,Full-time,Mid-Senior level
Data Analyst,FedEx,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-fedex-4371039081,Full-time,Mid-Senior level
Healthcare_ Data Analyst_Q4,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/healthcare-data-analyst-q4-at-infosys-4368087694,Full-time,Mid-Senior level
Data Analyst,BSH Home Appliances India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-bsh-home-appliances-india-4365468490,Full-time,Mid-Senior level
Data Analyst,Sage,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-sage-4362780538,Full-time,Mid-Senior level
Data Modeller,GeekSoft Consulting,"Bangalore North Rural, Karnataka, India",https://in.linkedin.com/jobs/view/data-modeller-at-geeksoft-consulting-4370297815,Full-time,Mid-Senior level
